"id";"requisito";"criterio";"caso_historia";"regla_invariante";"entidad_dato";"endpoint";"metodo";"rol";"pantalla_accion";"prueba_backend";"prueba_frontend";"e2e_playwright";"evidencia";"comando_reproducible";"resultado";"sha_aplicacion";"riesgo_residual"
"RF02-C02";"RF-02";"La novedad conserva fecha, tipo, descripción, estado, kilometraje y relación operacional";"CU-02 pasos 3-4";"Registro trazable e íntegro";"Novedad, LecturaKilometraje, JornadaOperativa";"/api/novedades, /api/novedades/mis-novedades/:id";"POST, GET";"CONDUCTOR";"Formulario y detalle de novedad";"novelty.test.ts";"Novelties.test.tsx";"novelty-p5.spec.ts";"P14_RF02_CONDUCTOR_NOVEDADES_1440.png";"npm run test:backend:local -- --run test/novelty.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RF02-C03";"RF-02";"El Conductor no reporta sobre buses ajenos";"CU-02 excepción bus ajeno";"Propiedad derivada de jornada vigente";"Usuario, JornadaOperativa, Bus";"/api/novedades";"POST";"CONDUCTOR";"Reportar novedad";"novelty.test.ts, p12-security.test.ts";"Novelties.test.tsx";"p12-security.spec.ts";"P14_RF02_CONDUCTOR_NOVEDADES_1440.png";"npm run test:backend:local -- --run test/novelty.test.ts test/p12-security.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RF02-C04";"RF-02";"El sistema no incentiva uso mientras se conduce";"CU-02 paso 3";"La interfaz advierte registrar solo cuando sea seguro";"Texto de interfaz";"No aplica";"No aplica";"CONDUCTOR";"Aviso de seguridad en Reportar novedad";"No aplica";"Novelties.test.tsx";"novelty-p5.spec.ts";"P14_RF02_CONDUCTOR_NOVEDADES_1440.png";"npm --workspace @sgmv/frontend test -- --run src/features/novedades/Novelties.test.tsx";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Depende de conducta humana fuera del prototipo"
"RF02-C05";"RF-02";"Novedad crítica puede alertar y bloquear disponibilidad";"CU-02 excepción crítica";"Bloqueo y alerta se producen en la transacción";"Novedad, Bus, AlertaInterna, AlertaDestinatario";"/api/novedades, /api/alertas";"POST, GET";"CONDUCTOR, DESPACHADOR, ADMINISTRADOR";"Novedades y Alertas";"novelty.test.ts, alerts.test.ts";"Novelties.test.tsx, AlertsPage.test.tsx";"alerts-p9.spec.ts";"P14_RF02_DESPACHADOR_NOVEDADES_1024.png";"npm run test:backend:local -- --run test/novelty.test.ts test/alerts.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RF02-C06";"RF-02";"Despachador reacciona operacionalmente pero no cierra técnicamente";"CU-02 pasos 5-8";"RBAC separa operación de revisión técnica";"Novedad, JornadaOperativa";"/api/novedades y /api/novedades/:id/revision";"GET, POST";"DESPACHADOR lectura, ADMINISTRADOR revisión";"RF-02 Novedades";"novelty.test.ts";"Novelties.test.tsx";"p13-production.spec.ts";"P14_RF02_DESPACHADOR_NOVEDADES_1024.png";"npm run test:backend:local -- --run test/novelty.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RF02-C07";"RF-02";"La orden conserva la relación jornada-novedad-orden";"CU-02 paso 9";"Una novedad genera como máximo una orden correctiva";"JornadaOperativa, Novedad, OrdenTrabajo";"/api/novedades/:novedadId/convertir-orden";"POST";"ADMINISTRADOR";"Convertir a orden";"novelty.test.ts, work-order.test.ts";"Novelties.test.tsx, WorkOrders.test.tsx";"novelty-p5.spec.ts";"P14_RF02_DESPACHADOR_NOVEDADES_1024.png";"npm run test:backend:local -- --run test/novelty.test.ts test/work-order.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RF03-C01";"RF-03";"Cada plan identifica destino, componente, actividad, intervalo y prioridad";"CU-03 pasos 1-2";"Destino Bus XOR ModeloBus y versión inmutable";"PlanMantenimientoPreventivo";"/api/mantenimiento-preventivo/planes";"GET, POST";"ADMINISTRADOR";"Planes preventivos";"preventive-plan.test.ts";"PreventiveMaintenance.test.tsx";"preventive-p6.spec.ts";"P14_RF03_ADMIN_PREVENTIVO_1024.png";"npm run test:backend:local -- --run test/preventive-plan.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RF03-C02";"RF-03";"El sistema evalúa umbrales por fecha y kilometraje";"CU-03 pasos 3-4";"Clasificación VIGENTE, PROXIMO o VENCIDO con anticipaciones efectivas";"PlanMantenimientoPreventivo, ProgramacionMantenimiento, Bus";"/api/mantenimiento-preventivo/programaciones";"GET";"ADMINISTRADOR";"Resumen y programaciones";"preventive.test.ts, preventive-cycle.test.ts";"PreventiveMaintenance.test.tsx";"preventive-p6.spec.ts";"P14_RF03_ADMIN_PREVENTIVO_1024.png";"npm run test:backend:local -- --run test/preventive.test.ts test/preventive-cycle.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Evaluación periódica condicionada a disponibilidad de la instancia Free"
"RF03-C03";"RF-03";"El cierre preventivo calcula siguiente objetivo cuando hay intervalo";"CU-03 paso 8";"Avanza exactamente un ciclo e idempotente bajo concurrencia";"ProgramacionMantenimiento, OrdenTrabajo";"/api/ordenes-trabajo/:ordenId/cerrar";"POST";"ADMINISTRADOR";"Cerrar orden preventiva";"preventive-cycle.test.ts, p12-concurrency.test.ts";"WorkOrders.test.tsx";"work-order-p7.spec.ts";"P14_RF03_ADMIN_PREVENTIVO_1024.png";"npm run test:backend:local -- --run test/preventive-cycle.test.ts test/p12-concurrency.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RF03-C04";"RF-03";"No se duplican órdenes preventivas activas";"CU-03 excepción duplicado";"Obligación y orden activa únicas";"ProgramacionMantenimiento, OrdenTrabajo";"/api/mantenimiento-preventivo/programaciones/:id/generar-orden";"POST";"ADMINISTRADOR";"Generar orden";"preventive.test.ts, preventive-cycle.test.ts, p12-concurrency.test.ts";"PreventiveMaintenance.test.tsx";"preventive-p6.spec.ts";"P14_RF03_ADMIN_PREVENTIVO_1024.png";"npm run test:backend:local -- --run test/preventive.test.ts test/preventive-cycle.test.ts test/p12-concurrency.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RF03-C05";"RF-03";"Una condición crítica vencida puede restringir despacho";"CU-03 pasos 5-6";"Solo VENCIDO con bloqueaAlVencer restringe";"ProgramacionMantenimiento, Bus, AlertaInterna";"/api/mantenimiento-preventivo/restricciones";"GET";"ADMINISTRADOR, DESPACHADOR";"Restricciones preventivas";"preventive-availability-alerts.test.ts";"PreventiveMaintenance.test.tsx";"preventive-p6.spec.ts";"P14_RF03_ADMIN_PREVENTIVO_1024.png";"npm run test:backend:local -- --run test/preventive-availability-alerts.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RF03-C06";"RF-03";"Despachador ve restricción operacional, no diagnóstico ni costos";"CU-03 paso 9";"Proyección DTO mínima por rol";"Bus, ProgramacionMantenimiento";"/api/mantenimiento-preventivo/restricciones";"GET";"DESPACHADOR";"Restricciones en Jornadas";"preventive-availability-alerts.test.ts, p12-security.test.ts";"Journeys.test.tsx";"p13-production.spec.ts";"P14_RF01_DESPACHADOR_JORNADAS_1440.png";"npm run test:backend:local -- --run test/preventive-availability-alerts.test.ts test/p12-security.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RF04-C01";"RF-04";"Cada orden conserva bus, tipo, origen, responsable y estado";"CU-04 pasos 1-3";"Máquina de estados y responsable auditables";"OrdenTrabajo, OrdenEstadoHistorial";"/api/ordenes-trabajo";"GET, POST";"ADMINISTRADOR";"RF-04 Órdenes";"work-order.test.ts";"WorkOrders.test.tsx";"work-order-p7.spec.ts";"P14_RF04_MECANICO_ORDENES_1440.png";"npm run test:backend:local -- --run test/work-order.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RF04-C02";"RF-04";"Cuando aplica conserva novedad, jornada y kilometraje técnico";"CU-04 pasos 2 y 6-10";"Contextos coherentes con el mismo bus";"OrdenTrabajo, Novedad, JornadaOperativa, LecturaKilometraje, Intervencion";"/api/ordenes-trabajo/:id/lecturas, /api/ordenes-trabajo/:id";"POST, GET";"ADMINISTRADOR, MECANICO";"Detalle de orden";"work-order.test.ts, prisma-integrity.test.ts";"WorkOrders.test.tsx";"work-order-p7.spec.ts";"P14_RF04_MECANICO_ORDENES_1440.png";"npm run test:backend:local -- --run test/work-order.test.ts test/prisma-integrity.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RF04-C03";"RF-04";"El Mecánico solo actualiza órdenes asignadas";"CU-04 excepción orden ajena";"Propiedad técnica verificada en backend";"OrdenTrabajo, Usuario";"/api/ordenes-trabajo/:id/iniciar, intervencion, actividades, consumos, completar";"POST, PATCH";"MECANICO asignado";"Ejecución técnica";"work-order.test.ts, p12-security.test.ts";"WorkOrders.test.tsx";"work-order-p7.spec.ts";"P14_RF04_MECANICO_ORDENES_1440.png";"npm run test:backend:local -- --run test/work-order.test.ts test/p12-security.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RF04-C04";"RF-04";"El Administrador asigna, reasigna, devuelve o cierra";"CU-04 pasos 3 y 11";"Transiciones autorizadas y CERRADA terminal";"OrdenTrabajo, OrdenEstadoHistorial, OrdenReasignacion";"/api/ordenes-trabajo/:id/asignar, reasignar, devolver, cerrar";"POST";"ADMINISTRADOR";"Acciones administrativas RF-04";"work-order.test.ts";"WorkOrders.test.tsx";"work-order-p7.spec.ts";"Matriz y pruebas RF-04";"npm run test:backend:local -- --run test/work-order.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RF04-C05";"RF-04";"Despachador no accede a diagnóstico, actividades internas ni costos";"CU-04 excepción privacidad";"Proyección operativa sin economía ni técnica interna";"OrdenTrabajo, disponibilidad";"/api/ordenes-trabajo/despacho";"GET";"DESPACHADOR";"Proyección operativa RF-04";"work-order.test.ts, p12-security.test.ts";"WorkOrders.test.tsx";"p13-production.spec.ts";"P14_RF04_DESPACHADOR_ORDENES_390.png";"npm run test:backend:local -- --run test/work-order.test.ts test/p12-security.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RF04-C06";"RF-04";"El cierre conserva intervención, repuestos, kilometraje y disponibilidad final";"CU-04 pasos 7-12";"Snapshot final y cadena histórica derivados de registros validados";"Intervencion, Actividad, ConsumoRepuesto, LecturaKilometraje, OrdenTrabajo, Bus";"/api/ordenes-trabajo/:id/cerrar, /api/historial/buses/:busId";"POST, GET";"ADMINISTRADOR";"Cerrar orden e Historial";"work-order.test.ts, report.test.ts";"WorkOrders.test.tsx, History.test.tsx";"work-order-p7.spec.ts, history-p10.spec.ts";"P14_RF06_MECANICO_HISTORIAL_1024.png";"npm run test:backend:local -- --run test/work-order.test.ts test/report.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RF04-C07";"RF-04";"Mecánico recibe técnica pero ningún campo económico";"Retorno focalizado P13/RNF-01";"Los campos costoTotal, costoUnitario y subtotal están ausentes del DTO";"OrdenTrabajo, ConsumoRepuesto, Repuesto";"/api/ordenes-trabajo/resumen, mis-ordenes, :id, repuestos-disponibles y mutaciones";"GET, POST, PATCH";"MECANICO";"Listado y detalle sin costos";"work-order.test.ts";"WorkOrders.test.tsx";"p13-production.spec.ts";"P14_RF04_MECANICO_ORDENES_1440.png";"npm run test:backend:local -- --run test/work-order.test.ts && npm run test:e2e:production";"PASS";"128b062, 3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RF05-C01";"RF-05";"Administrador gestiona repuestos, existencias, entradas, ajustes y compatibilidades";"CU-05 pasos 1-4";"Solo Administrador accede al inventario administrativo";"Repuesto, MovimientoInventario, CompatibilidadRepuesto";"/api/repuestos y /api/inventario/movimientos";"GET, POST, PATCH";"ADMINISTRADOR";"RF-05 Repuestos";"spare-part.test.ts";"SpareParts.test.tsx";"spare-part-p8.spec.ts";"P14_RF05_ADMIN_REPUESTOS_390.png";"npm run test:backend:local -- --run test/spare-part.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Datos de inventario simulados"
"RF05-C02";"RF-05";"Mecánico consume solo repuestos activos, disponibles y compatibles en orden autorizada";"CU-05 pasos 5-6";"Intervención activa, stock y compatibilidad se validan en backend";"Repuesto, CompatibilidadRepuesto, ConsumoRepuesto, Intervencion";"/api/ordenes-trabajo/:id/repuestos-disponibles y consumos";"GET, POST";"MECANICO asignado";"Consumo en RF-04";"spare-part.test.ts, work-order.test.ts";"WorkOrders.test.tsx";"spare-part-p8.spec.ts";"P14_RF04_MECANICO_ORDENES_1440.png";"npm run test:backend:local -- --run test/spare-part.test.ts test/work-order.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RF05-C03";"RF-05";"Compatibilidad considera código, parte, modelo, dimensiones, especificaciones y excepciones";"CU-05 pasos 2-3 y 7";"Precedencia bus sobre modelo y regla negativa específica";"Repuesto, ModeloBus, CompatibilidadRepuesto";"/api/repuestos/:id/compatibilidades";"GET, POST";"ADMINISTRADOR";"Compatibilidades RF-05";"spare-part.test.ts";"SpareParts.test.tsx";"spare-part-p8.spec.ts";"P14_RF05_ADMIN_REPUESTOS_390.png";"npm run test:backend:local -- --run test/spare-part.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Validación técnica depende de datos simulados correctamente configurados"
"RF05-C04";"RF-05";"Backend bloquea consumo incompatible o sin existencia";"CU-05 excepciones";"Rechazo antes de mutar stock y alerta deduplicada";"ConsumoRepuesto, MovimientoInventario, AlertaInterna";"/api/ordenes-trabajo/:id/consumos";"POST";"MECANICO";"Registrar consumo";"spare-part.test.ts, p12-concurrency.test.ts";"WorkOrders.test.tsx";"spare-part-p8.spec.ts";"Matriz y pruebas RF-05";"npm run test:backend:local -- --run test/spare-part.test.ts test/p12-concurrency.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RF05-C05";"RF-05";"Excepción de compatibilidad registra responsable y motivo";"CU-05 paso 7";"Autorización previa exclusiva de Administrador, revocable y de un uso";"AutorizacionExcepcionConsumo";"/api/ordenes-trabajo/:id/excepciones-consumo";"POST";"ADMINISTRADOR";"Autorizar excepción";"spare-part.test.ts, work-order.test.ts";"WorkOrders.test.tsx";"spare-part-p8.spec.ts";"Matriz y pruebas RF-05";"npm run test:backend:local -- --run test/spare-part.test.ts test/work-order.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RF05-C06";"RF-05";"Cada consumo genera movimiento y actualiza existencia trazablemente";"CU-05 paso 8";"Consumo, decremento y movimiento son atómicos e idempotentes";"ConsumoRepuesto, MovimientoInventario, Repuesto";"/api/ordenes-trabajo/:id/consumos";"POST";"MECANICO";"Registrar consumo";"spare-part.test.ts, idempotency.test.ts, p12-concurrency.test.ts";"WorkOrders.test.tsx";"spare-part-p8.spec.ts";"P14_RF05_ADMIN_REPUESTOS_390.png";"npm run test:backend:local -- --run test/spare-part.test.ts test/idempotency.test.ts test/p12-concurrency.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RF06-C01";"RF-06";"Administrador consulta información completa y costos";"CU-06 pasos 2-3";"Proyección económica exclusiva de Administrador";"Historial derivado, snapshots de costo";"/api/historial/resumen, buses, informes/mantenimiento, repuestos, costos";"GET";"ADMINISTRADOR";"RF-06 Historial e informes";"report.test.ts, work-order.test.ts";"History.test.tsx";"history-p10.spec.ts, p13-production.spec.ts";"Matriz y prueba productiva de costo autorizado";"npm run test:backend:local -- --run test/report.test.ts test/work-order.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Informes en pantalla, sin exportación externa"
"RF06-C02";"RF-06";"Despachador consulta operación sin diagnósticos ni costos";"CU-06 paso 4";"DTO mínimo por rol";"Jornada, Novedad, Orden, Disponibilidad";"/api/historial/resumen, buses, buses/:id";"GET";"DESPACHADOR";"RF-06 Historial";"report.test.ts, p12-security.test.ts";"History.test.tsx";"history-p10.spec.ts, p13-production.spec.ts";"P14_RF04_DESPACHADOR_ORDENES_390.png";"npm run test:backend:local -- --run test/report.test.ts test/p12-security.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RF06-C03";"RF-06";"Mecánico consulta antecedentes técnicos necesarios";"CU-06 paso 5";"Sin costos administrativos ni alcance ajeno";"Orden, Intervencion, Actividad, Consumo técnico";"/api/historial/buses y /api/historial/buses/:id";"GET";"MECANICO";"RF-06 Historial técnico";"report.test.ts";"History.test.tsx";"history-p10.spec.ts";"P14_RF06_MECANICO_HISTORIAL_1024.png";"npm run test:backend:local -- --run test/report.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RF06-C04";"RF-06";"Conductor consulta solo jornada, bus, novedades y alertas propias";"CU-06 paso 6";"El backend deriva alcance de sesión";"Usuario, Jornada, Bus, Novedad, AlertaDestinatario";"/api/historial/mi-bus";"GET";"CONDUCTOR";"RF-06 Mi historial";"report.test.ts, p12-security.test.ts";"History.test.tsx";"history-p10.spec.ts";"P14_RF06_CONDUCTOR_HISTORIAL_390.png";"npm run test:backend:local -- --run test/report.test.ts test/p12-security.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RF06-C05";"RF-06";"Los informes se derivan y no modifican historial";"CU-06 pasos 7-8";"Endpoints GET sin efectos laterales ni entidad Informe";"Consultas derivadas de entidades RF-01 a RF-05";"/api/historial/*";"GET";"Según proyección";"Historial e informes";"report.test.ts";"History.test.tsx";"history-p10.spec.ts";"P14_RF06_MECANICO_HISTORIAL_1024.png";"npm run test:backend:local -- --run test/report.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RF06-C06";"RF-06";"El sistema reconstruye la cadena operativa y técnica completa";"CU-06 paso 7";"Correlación por relaciones reales, sin formulario histórico paralelo";"Jornada, Lectura, Novedad, Orden, Intervencion, Consumo, Movimiento, Alerta";"/api/historial/buses/:busId";"GET";"ADMINISTRADOR, DESPACHADOR, MECANICO";"Detalle de historial";"report.test.ts";"History.test.tsx";"history-p10.spec.ts";"P14_RF06_MECANICO_HISTORIAL_1024.png";"npm run test:backend:local -- --run test/report.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RNF01-C01";"RNF-01";"Autenticación, sesión y contraseñas seguras";"Capacidad transversal";"bcrypt, JWT en cookie HttpOnly y logout efectivo";"Usuario, Rol, sesión";"/api/auth/csrf, login, me, logout";"GET, POST";"Todos";"Login y cerrar sesión";"auth.test.ts, p12-security.test.ts";"App.test.tsx";"p12-security.spec.ts, p13-production.spec.ts";"P14_RNF01_DESPACHADOR_ACCESO_DENEGADO_1440.png";"npm run test:backend:local -- --run test/auth.test.ts test/p12-security.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RNF01-C02";"RNF-01";"CSRF, CORS, cookies y errores 401/403";"Capacidad transversal";"Origen exacto, mutación con token y error seguro";"Middleware HTTP";"Todos los endpoints";"Todos";"Todos";"Protección de ruta y mutación";"p12-security.test.ts, auth.test.ts";"App.test.tsx";"p12-security.spec.ts, p13-production.spec.ts";"P14_RNF01_DESPACHADOR_ACCESO_DENEGADO_1440.png";"npm run test:backend:local -- --run test/p12-security.test.ts test/auth.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RNF01-C03";"RNF-01";"Autorización por rol, propiedad y privacidad de campos";"Todos los CU";"Validación backend, no solo UI";"DTO por rol";"Flota, jornadas, novedades, preventivo, órdenes, repuestos, historial, alertas";"GET, POST, PATCH";"Todos";"Menús, guards y proyecciones";"p12-security.test.ts y suites de dominio";"Suites de feature";"p12-security.spec.ts, p13-production.spec.ts";"P14_RF04_MECANICO_ORDENES_1440.png";"npm run test:backend:local -- --run test/p12-security.test.ts test/work-order.test.ts";"PASS";"128b062, 3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado en el producto"
"RNF01-C04";"RNF-01";"Validación de entradas, integridad y auditoría";"Capacidad transversal";"Zod, Prisma/SQL, actor y fecha en mutaciones";"Entidades de dominio, EventoAuditoria";"Todos los endpoints mutables";"POST, PATCH";"Según RBAC";"Formularios";"prisma-integrity.test.ts, p12-security.test.ts, observability.test.ts";"Suites de feature";"p12-security.spec.ts";"Matriz y resultados de pruebas";"npm run test:backend:local -- --run test/prisma-integrity.test.ts test/p12-security.test.ts test/observability.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
